Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Ohio's Best *Local Specialty* - Medium Hand Tossed Slice,123.3g,10g,27g,10g,2g,2g,480mg,25mg,240,4.5g,0g
Super Supreme - Medium Hand Tossed Slice,130.5g,14g,27g,12g,2g,2g,620mg,30mg,280,5g,0g
Taco Pizza *Local Specialty* - Medium Hand Tossed Slice,135.7g,11g,30g,12g,2g,3g,500mg,30mg,270,5g,0g
American Chicken Club *Local Specialty* - Medium Thin 'N Crispy® Slice,106.2g,12g,23g,10g,3g,2g,480mg,30mg,250,4g,0g
Badger Special *Local Specialty* - Medium Thin 'N Crispy® Slice,93.6g,9g,22g,10g,3g,2g,470mg,25mg,210,4.5g,0g
BBQ Beef - Medium Thin 'N Crispy® Slice,95.2g,9g,25g,11g,6g,2g,520mg,25mg,220,4g,0g
BBQ Chicken *Local Specialty* - Medium Thin 'N Crispy® Slice,88.2g,6g,27g,11g,7g,1g,450mg,25mg,200,3g,0g
BBQ Lover's *Local Specialty* - Medium Thin 'N Crispy® Slice,85.9g,9g,27g,10g,7g,1g,520mg,25mg,230,4g,0g
BLT *Local Specialty* - Medium Thin 'N Crispy® Slice,95.2g,12g,21g,9g,3g,1g,430mg,25mg,230,4g,0g
Fiesta Taco (Beef) - Medium Thin 'N Crispy® Slice,122.8g,11g,29g,9g,3g,3g,540mg,20mg,260,4g,0g
Fiesta Taco (Chicken) - Medium Thin 'N Crispy® Slice,123.8g,9g,29g,10g,3g,3g,500mg,20mg,240,3g,0g
Garden Chicken *Local Specialty* - Medium Thin 'N Crispy® Slice,97.9g,6g,23g,10g,3g,2g,430mg,20mg,190,3g,0g
Garden Fresh *Local Specialty* - Medium Thin 'N Crispy® Slice,109.1g,6g,24g,8g,4g,2g,390mg,15mg,180,3g,0g
Hawaiian *Local Specialty* - Medium Thin 'N Crispy® Slice,98.2g,5g,25g,9g,5g,2g,520mg,20mg,180,3g,0g
Hawaiian Luau - Medium Thin 'N Crispy® Slice,88.5g,7g,23g,9g,4g,2g,460mg,20mg,190,3g,0g
